Country,Year,Disease_Name,Avg_Mortality,Mortality_Rank
Brazil,2002,Tuberculosis,5.6064516129032258,1
Brazil,2002,Hypertension,5.3978947368421064,2
Brazil,2002,Influenza,5.3132352941176455,3
Brazil,2002,Parkinson's Disease,5.25421568627451,4
Brazil,2002,Asthma,5.1274757281553383,5
Indonesia,2019,Zika,5.8462790697674407,1
Indonesia,2019,Parkinson's Disease,5.3272448979591847,2
Indonesia,2019,HIV/AIDS,5.310752688172041,3
Indonesia,2019,COVID-19,5.2767647058823517,4
Indonesia,2019,Cholera,5.2620618556701011,5
Mexico,2019,Tuberculosis,5.6100000000000012,1
Mexico,2019,Ebola,5.4756701030927832,2
Mexico,2019,Leprosy,5.2860185185185209,3
Mexico,2019,Parkinson's Disease,5.1965306122448975,4
Mexico,2019,Asthma,5.190784313725489,5
Mexico,2000,Measles,5.5960674157303378,1
Mexico,2000,Dengue,5.4159770114942534,2
Mexico,2000,Polio,5.3135714285714295,3
Mexico,2000,Hepatitis,5.2572972972972982,4
Mexico,2000,Ebola,5.2326262626262627,5
South Korea,2001,Parkinson's Disease,5.43305084745763,1
South Korea,2001,Influenza,5.3313131313131352,2
South Korea,2001,Ebola,5.3303999999999991,3
South Korea,2001,Cancer,5.1885057471264391,4
South Korea,2001,HIV/AIDS,5.1279411764705882,5
Nigeria,2004,Rabies,5.5002298850574736,1
Nigeria,2004,Ebola,5.4048245614035082,2
Nigeria,2004,Hepatitis,5.3520000000000012,3
Nigeria,2004,Malaria,5.3504504504504489,4
Nigeria,2004,HIV/AIDS,5.337610619469026,5
India,2012,Polio,5.641868131868133,1
India,2012,Diabetes,5.4387628865979361,2
India,2012,Alzheimer's Disease,5.2244954128440364,3
India,2012,Hepatitis,5.2169863013698619,4
India,2012,Malaria,5.2015053763440884,5
Canada,2021,Cholera,5.799148936170214,1
Canada,2021,Hypertension,5.5658653846153854,2
Canada,2021,Polio,5.2865454545454567,3
Canada,2021,Influenza,5.2344247787610634,4
Canada,2021,Asthma,5.1946078431372547,5
Italy,2021,Alzheimer's Disease,5.7188888888888885,1
Italy,2021,HIV/AIDS,5.4412765957446823,2
Italy,2021,Malaria,5.4311504424778745,3
Italy,2021,Hypertension,5.3387619047619053,4
Italy,2021,Hepatitis,5.2950476190476179,5
India,2022,Diabetes,5.4821978021978017,1
India,2022,Leprosy,5.3610810810810827,2
India,2022,Cholera,5.2158762886597954,3
India,2022,Tuberculosis,5.1925000000000008,4
India,2022,Influenza,5.1296551724137949,5
USA,2004,Influenza,5.5274999999999981,1
USA,2004,Rabies,5.506043956043956,2
USA,2004,HIV/AIDS,5.4280612244897961,3
USA,2004,Asthma,5.4233962264150932,4
USA,2004,Alzheimer's Disease,5.4214285714285717,5
Australia,2008,Hepatitis,5.4941592920353983,1
Australia,2008,Malaria,5.4747222222222227,2
Australia,2008,Asthma,5.4656603773584918,3
Australia,2008,Tuberculosis,5.3123958333333317,4
Australia,2008,Zika,5.2922222222222208,5
India,2014,Hepatitis,5.5772897196261662,1
India,2014,Measles,5.4965517241379311,2
India,2014,Dengue,5.4376699029126225,3
India,2014,Ebola,5.376222222222224,4
India,2014,Alzheimer's Disease,5.3116853932584283,5
Canada,2008,Leprosy,5.4804081632653041,1
Canada,2008,COVID-19,5.3855172413793095,2
Canada,2008,Tuberculosis,5.254736842105264,3
Canada,2008,Measles,5.2480952380952388,4
Canada,2008,Ebola,5.2111711711711708,5
Italy,2018,Diabetes,5.3972277227722776,1
Italy,2018,Zika,5.2650000000000006,2
Italy,2018,Cholera,5.2420454545454538,3
Italy,2018,Malaria,5.1892222222222237,4
Italy,2018,Parkinson's Disease,5.1617708333333354,5
Germany,2019,Asthma,5.6453608247422657,1
Germany,2019,Ebola,5.5025862068965523,2
Germany,2019,COVID-19,5.46731182795699,3
Germany,2019,Measles,5.3759803921568627,4
Germany,2019,Hypertension,5.358299999999999,5
UK,2005,Asthma,5.5268817204301053,1
UK,2005,Hypertension,5.4399122807017513,2
UK,2005,Dengue,5.359791666666669,3
UK,2005,Measles,5.3236170212765934,4
UK,2005,Alzheimer's Disease,5.2099047619047631,5
France,2001,COVID-19,5.8240833333333342,1
France,2001,Influenza,5.5835643564356436,2
France,2001,Ebola,5.5356976744186035,3
France,2001,Tuberculosis,5.4833333333333343,4
France,2001,Zika,5.43952380952381,5
Brazil,2010,HIV/AIDS,5.5993406593406583,1
Brazil,2010,Zika,5.5808602150537636,2
Brazil,2010,COVID-19,5.4718018018018011,3
Brazil,2010,Alzheimer's Disease,5.4591666666666683,4
Brazil,2010,Leprosy,5.3471717171717179,5
Nigeria,2016,Cholera,5.7304587155963285,1
Nigeria,2016,Asthma,5.5148979591836733,2
Nigeria,2016,Parkinson's Disease,5.4005128205128194,3
Nigeria,2016,Cancer,5.1536363636363625,4
Nigeria,2016,Hepatitis,5.1177215189873415,5
Japan,2022,Polio,5.39877192982456,1
Japan,2022,Malaria,5.3929357798165114,2
Japan,2022,Rabies,5.3056074766355135,3
Japan,2022,Parkinson's Disease,5.2644036697247678,4
Japan,2022,Hypertension,5.2466666666666661,5
Saudi Arabia,2004,Hypertension,5.6023148148148181,1
Saudi Arabia,2004,Hepatitis,5.4053488372093019,2
Saudi Arabia,2004,Measles,5.3862857142857123,3
Saudi Arabia,2004,Dengue,5.3675728155339808,4
Saudi Arabia,2004,Influenza,5.3652873563218382,5
UK,2010,Influenza,5.6814893617021269,1
UK,2010,COVID-19,5.531808510638295,2
UK,2010,Hypertension,5.3503225806451633,3
UK,2010,Rabies,5.3190217391304335,4
UK,2010,Polio,5.1040776699029147,5
Mexico,2007,Influenza,5.5570408163265306,1
Mexico,2007,Dengue,5.5080530973451332,2
Mexico,2007,Rabies,5.3332173913043475,3
Mexico,2007,Alzheimer's Disease,5.3325,4
Mexico,2007,Tuberculosis,5.2536792452830188,5
Mexico,2016,Cholera,5.4715315315315332,1
Mexico,2016,Asthma,5.4529906542056068,2
Mexico,2016,Cancer,5.4214953271028037,3
Mexico,2016,Parkinson's Disease,5.4094845360824744,4
Mexico,2016,Hepatitis,5.33408602150538,5
South Korea,2021,Tuberculosis,5.5530909090909075,1
South Korea,2021,Asthma,5.4929629629629595,2
South Korea,2021,Polio,5.387627118644069,3
South Korea,2021,Influenza,5.31,4
South Korea,2021,Parkinson's Disease,5.3052083333333346,5
Saudi Arabia,2001,Rabies,5.5285981308411243,1
Saudi Arabia,2001,Asthma,5.5128455284552844,2
Saudi Arabia,2001,Malaria,5.4317204301075268,3
Saudi Arabia,2001,Polio,5.3839999999999995,4
Saudi Arabia,2001,Influenza,5.2232989690721654,5
Mexico,2002,Leprosy,5.4820000000000029,1
Mexico,2002,Malaria,5.4286666666666674,2
Mexico,2002,Measles,5.3403960396039611,3
Mexico,2002,Rabies,5.3231355932203392,4
Mexico,2002,Influenza,5.2135632183908047,5
France,2010,Ebola,5.7412765957446812,1
France,2010,Cancer,5.5502727272727279,2
France,2010,Polio,5.3791428571428561,3
France,2010,Influenza,5.3546938775510222,4
France,2010,Measles,5.3315789473684205,5
Indonesia,2013,Hypertension,5.45508620689655,1
Indonesia,2013,Rabies,5.3840206185567041,2
Indonesia,2013,Diabetes,5.2888888888888905,3
Indonesia,2013,Ebola,5.2591304347826107,4
Indonesia,2013,Tuberculosis,5.2548333333333321,5
India,2020,Hepatitis,5.6311494252873588,1
India,2020,Asthma,5.6144554455445554,2
India,2020,Hypertension,5.4401234567901229,3
India,2020,Diabetes,5.3325454545454569,4
India,2020,Ebola,5.3319587628865985,5
Turkey,2006,Polio,5.6288461538461556,1
Turkey,2006,Tuberculosis,5.4278378378378376,2
Turkey,2006,Cholera,5.4164444444444433,3
Turkey,2006,Cancer,5.3532380952380958,4
Turkey,2006,Rabies,5.3023364485981306,5
USA,2019,COVID-19,5.6625384615384631,1
USA,2019,Hepatitis,5.4804301075268818,2
USA,2019,Cancer,5.4095145631067982,3
USA,2019,Ebola,5.2389690721649487,4
USA,2019,Dengue,5.2332978723404269,5
India,2000,Malaria,5.8323232323232324,1
India,2000,Leprosy,5.4662857142857124,2
India,2000,Alzheimer's Disease,5.2690526315789441,3
India,2000,Hypertension,5.2304672897196252,4
India,2000,Rabies,5.2122891566265093,5
Japan,2001,Alzheimer's Disease,5.4382727272727243,1
Japan,2001,Hypertension,5.4037209302325584,2
Japan,2001,Asthma,5.3044660194174744,3
Japan,2001,Rabies,5.30091836734694,4
Japan,2001,Diabetes,5.2482786885245885,5
South Africa,2002,Alzheimer's Disease,5.89257731958763,1
South Africa,2002,Zika,5.4791666666666661,2
South Africa,2002,Hypertension,5.427,3
South Africa,2002,Influenza,5.3321904761904761,4
South Africa,2002,Tuberculosis,5.2503157894736834,5
Saudi Arabia,2005,COVID-19,5.6684523809523792,1
Saudi Arabia,2005,Asthma,5.2988392857142879,2
Saudi Arabia,2005,Ebola,5.2898039215686286,3
Saudi Arabia,2005,Diabetes,5.2810526315789481,4
Saudi Arabia,2005,Malaria,5.2312931034482739,5
China,2011,Influenza,5.651770833333333,1
China,2011,Hypertension,5.4844329896907249,2
China,2011,Ebola,5.4512371134020636,3
China,2011,Dengue,5.4118367346938765,4
China,2011,Parkinson's Disease,5.3566972477064194,5
Japan,2013,HIV/AIDS,5.8234782608695665,1
Japan,2013,Hepatitis,5.3198823529411765,2
Japan,2013,Leprosy,5.2737894736842135,3
Japan,2013,Diabetes,5.2549999999999981,4
Japan,2013,Dengue,5.223086419753086,5
Argentina,2014,Asthma,5.475929203539823,1
Argentina,2014,Rabies,5.4189000000000007,2
Argentina,2014,Cancer,5.354,3
Argentina,2014,Tuberculosis,5.3439795918367352,4
Argentina,2014,Diabetes,5.2993203883495141,5
China,2018,Asthma,5.5717525773195877,1
China,2018,Diabetes,5.5561458333333311,2
China,2018,Leprosy,5.5089583333333323,3
China,2018,Dengue,5.3755670103092781,4
China,2018,Malaria,5.3620952380952369,5
Canada,2024,Rabies,5.5861249999999991,1
Canada,2024,Alzheimer's Disease,5.5810891089108905,2
Canada,2024,Ebola,5.5409090909090919,3
Canada,2024,Cholera,5.5118095238095242,4
Canada,2024,Leprosy,5.3959375000000005,5
UK,2002,Leprosy,5.4703846153846154,1
UK,2002,Polio,5.3977551020408141,2
UK,2002,Hepatitis,5.3502459016393464,3
UK,2002,Measles,5.30950495049505,4
UK,2002,Hypertension,5.1884761904761909,5
Argentina,2006,Hepatitis,5.5766326530612238,1
Argentina,2006,Zika,5.5449999999999973,2
Argentina,2006,Rabies,5.4756410256410257,3
Argentina,2006,Diabetes,5.3909333333333311,4
Argentina,2006,Hypertension,5.3166981132075479,5
Saudi Arabia,2006,Asthma,5.5119417475728163,1
Saudi Arabia,2006,Dengue,5.502187499999998,2
Saudi Arabia,2006,Rabies,5.471862745098039,3
Saudi Arabia,2006,Cholera,5.253448275862068,4
Saudi Arabia,2006,Diabetes,5.1571578947368462,5
India,2013,Hepatitis,5.5280392156862739,1
India,2013,Zika,5.5166964285714295,2
India,2013,Malaria,5.4947474747474754,3
India,2013,Measles,5.491860465116277,4
India,2013,Influenza,5.4666666666666641,5
Russia,2013,Rabies,5.5242391304347818,1
Russia,2013,HIV/AIDS,5.4934210526315805,2
Russia,2013,Cholera,5.3616037735849051,3
Russia,2013,Hypertension,5.3007608695652184,4
Russia,2013,Tuberculosis,5.2125773195876262,5
Russia,2021,Ebola,5.686847826086959,1
Russia,2021,Parkinson's Disease,5.6862385321100906,2
Russia,2021,Rabies,5.6287128712871279,3
Russia,2021,Measles,5.2599074074074048,4
Russia,2021,Cholera,5.2272727272727266,5
Turkey,2008,Cancer,5.49653846153846,1
Turkey,2008,Diabetes,5.4833620689655174,2
Turkey,2008,Polio,5.430918367346937,3
Turkey,2008,Malaria,5.373243243243242,4
Turkey,2008,Ebola,5.3618999999999986,5
France,2009,Hypertension,5.6612380952380956,1
France,2009,Cancer,5.5672527472527484,2
France,2009,Measles,5.5390196078431373,3
France,2009,Influenza,5.4699065420560755,4
France,2009,Parkinson's Disease,5.2495199999999986,5
Mexico,2009,HIV/AIDS,5.5009433962264174,1
Mexico,2009,Parkinson's Disease,5.4733009708737841,2
Mexico,2009,Tuberculosis,5.4240816326530634,3
Mexico,2009,Rabies,5.3725,4
Mexico,2009,Cancer,5.309473684210527,5
Canada,2014,HIV/AIDS,5.4705511811023584,1
Canada,2014,Hepatitis,5.3891489361702147,2
Canada,2014,Ebola,5.3649494949494958,3
Canada,2014,Cancer,5.2901000000000007,4
Canada,2014,Malaria,5.2488392857142854,5
South Korea,2018,Rabies,5.5249999999999995,1
South Korea,2018,Asthma,5.2876842105263169,2
South Korea,2018,Ebola,5.2126262626262623,3
South Korea,2018,Malaria,5.2098019801980184,4
South Korea,2018,HIV/AIDS,5.1529357798165147,5
USA,2024,Rabies,5.5014150943396238,1
USA,2024,Polio,5.339100000000002,2
USA,2024,Hypertension,5.2316129032258054,3
USA,2024,Zika,5.1259223300970875,4
USA,2024,Tuberculosis,5.1172222222222219,5
Brazil,2006,Cancer,5.9218292682926847,1
Brazil,2006,Diabetes,5.7601851851851853,2
Brazil,2006,Influenza,5.6010204081632677,3
Brazil,2006,COVID-19,5.5607142857142851,4
Brazil,2006,Asthma,5.3454838709677421,5
Canada,2020,Alzheimer's Disease,5.491652892561981,1
Canada,2020,Influenza,5.4893670886075956,2
Canada,2020,Hypertension,5.4441250000000014,3
Canada,2020,Hepatitis,5.3322222222222218,4
Canada,2020,Measles,5.2938297872340438,5
Nigeria,2000,Ebola,5.647130434782607,1
Nigeria,2000,COVID-19,5.5906896551724126,2
Nigeria,2000,Tuberculosis,5.5005050505050512,3
Nigeria,2000,HIV/AIDS,5.3458695652173924,4
Nigeria,2000,Hepatitis,5.2717272727272748,5
Mexico,2001,Ebola,5.6820212765957443,1
Mexico,2001,Cholera,5.5047058823529378,2
Mexico,2001,Cancer,5.4665909090909084,3
Mexico,2001,Rabies,5.2496907216494852,4
Mexico,2001,HIV/AIDS,5.23763157894737,5
USA,2009,Zika,5.6907608695652154,1
USA,2009,Dengue,5.4683168316831727,2
USA,2009,Malaria,5.2483505154639145,3
USA,2009,Alzheimer's Disease,5.1602469135802504,4
USA,2009,COVID-19,5.0809574468085108,5
Canada,2015,Tuberculosis,5.4286206896551716,1
Canada,2015,Hypertension,5.4074489795918375,2
Canada,2015,Hepatitis,5.3798181818181838,3
Canada,2015,Measles,5.2602000000000029,4
Canada,2015,Rabies,5.2544680851063807,5
Argentina,2017,Hypertension,5.6255789473684192,1
Argentina,2017,Cholera,5.4266326530612234,2
Argentina,2017,Diabetes,5.3981250000000012,3
Argentina,2017,Zika,5.3261904761904759,4
Argentina,2017,Asthma,5.2797674418604652,5
Russia,2018,COVID-19,5.4130693069306934,1
Russia,2018,Rabies,5.4003809523809512,2
Russia,2018,Polio,5.3222881355932206,3
Russia,2018,Malaria,5.293181818181818,4
Russia,2018,Cholera,5.1867241379310354,5
Turkey,2018,Ebola,5.3371544715447152,1
Turkey,2018,Hepatitis,5.30009900990099,2
Turkey,2018,Tuberculosis,5.2957142857142854,3
Turkey,2018,Zika,5.289125,4
Turkey,2018,Influenza,5.2738235294117635,5
Germany,2023,Zika,5.7556565656565688,1
Germany,2023,Parkinson's Disease,5.4855855855855857,2
Germany,2023,Malaria,5.3602040816326548,3
Germany,2023,Tuberculosis,5.3236538461538467,4
Germany,2023,Ebola,5.2425490196078428,5
South Africa,2011,Alzheimer's Disease,5.5573958333333309,1
South Africa,2011,HIV/AIDS,5.34625,2
South Africa,2011,Ebola,5.1884347826086952,3
South Africa,2011,Leprosy,5.1859090909090915,4
South Africa,2011,Dengue,5.1727272727272737,5
UK,2012,Cancer,6.0041904761904759,1
UK,2012,Alzheimer's Disease,5.4982,2
UK,2012,Tuberculosis,5.49204301075269,3
UK,2012,Cholera,5.4144444444444453,4
UK,2012,Rabies,5.3673563218390816,5
India,2016,Zika,5.8208139534883712,1
India,2016,Ebola,5.5888297872340411,2
India,2016,Parkinson's Disease,5.5759459459459437,3
India,2016,Measles,5.485624999999998,4
India,2016,Cholera,5.3175700934579426,5
Canada,2019,Alzheimer's Disease,5.946486486486485,1
Canada,2019,Hepatitis,5.5471287128712872,2
Canada,2019,Hypertension,5.5125471698113193,3
Canada,2019,Ebola,5.4911363636363646,4
Canada,2019,Cancer,5.4501176470588248,5
South Korea,2022,Dengue,5.5275247524752444,1
South Korea,2022,Alzheimer's Disease,5.35076086956522,2
South Korea,2022,Influenza,5.2411214953271061,3
South Korea,2022,Cholera,5.1603361344537806,4
South Korea,2022,Hypertension,5.0881012658227851,5
South Africa,2006,HIV/AIDS,5.6314141414141421,1
South Africa,2006,Influenza,5.5284000000000022,2
South Africa,2006,Ebola,5.3083809523809515,3
South Africa,2006,Cholera,5.2856034482758636,4
South Africa,2006,Tuberculosis,5.177282608695652,5
Brazil,2007,Ebola,5.6826041666666658,1
Brazil,2007,COVID-19,5.5144444444444449,2
Brazil,2007,Cancer,5.4572093023255794,3
Brazil,2007,Parkinson's Disease,5.3438461538461537,4
Brazil,2007,Hypertension,5.28546391752577,5
Turkey,2009,Hypertension,5.5859782608695667,1
Turkey,2009,Zika,5.5814655172413783,2
Turkey,2009,Influenza,5.4075862068965526,3
Turkey,2009,Leprosy,5.3891397849462344,4
Turkey,2009,Malaria,5.3246875,5
Argentina,2012,COVID-19,5.4974336283185865,1
Argentina,2012,Hepatitis,5.4760396039603965,2
Argentina,2012,Ebola,5.3817525773195865,3
Argentina,2012,Leprosy,5.3128155339805812,4
Argentina,2012,Dengue,5.2983333333333347,5
Mexico,2015,Dengue,5.4383908045977023,1
Mexico,2015,Rabies,5.4339175257731958,2
Mexico,2015,Tuberculosis,5.3792452830188662,3
Mexico,2015,Alzheimer's Disease,5.339677419354838,4
Mexico,2015,Diabetes,5.261375000000001,5
UK,2020,Measles,5.4936000000000025,1
UK,2020,Rabies,5.4707526881720394,2
UK,2020,Cholera,5.4144210526315817,3
UK,2020,Diabetes,5.3911881188118809,4
UK,2020,Hepatitis,5.3889411764705866,5
Brazil,2022,COVID-19,5.4748387096774174,1
Brazil,2022,Hypertension,5.3946296296296286,2
Brazil,2022,Leprosy,5.34822222222222,3
Brazil,2022,HIV/AIDS,5.32,4
Brazil,2022,Influenza,5.2859999999999987,5
Russia,2022,HIV/AIDS,5.623437499999997,1
Russia,2022,Tuberculosis,5.5009756097560967,2
Russia,2022,Cancer,5.45381443298969,3
Russia,2022,Hepatitis,5.41508620689655,4
Russia,2022,Rabies,5.319807692307692,5
India,2005,Leprosy,5.5266037735849078,1
India,2005,Asthma,5.3514432989690732,2
India,2005,Measles,5.3454736842105257,3
India,2005,Cancer,5.3050000000000006,4
India,2005,Tuberculosis,5.2506593406593405,5
Nigeria,2006,COVID-19,5.3917171717171719,1
Nigeria,2006,Hypertension,5.38407894736842,2
Nigeria,2006,Asthma,5.3008695652173943,3
Nigeria,2006,Influenza,5.279708737864075,4
Nigeria,2006,Ebola,5.27,5
South Korea,2007,Asthma,5.4263106796116487,1
South Korea,2007,Rabies,5.3859183673469415,2
South Korea,2007,Leprosy,5.367592592592592,3
South Korea,2007,Influenza,5.3604950495049515,4
South Korea,2007,Malaria,5.2626363636363642,5
Argentina,2010,COVID-19,5.4820588235294121,1
Argentina,2010,Asthma,5.3998888888888912,2
Argentina,2010,Hepatitis,5.3655555555555559,3
Argentina,2010,Rabies,5.3412631578947378,4
Argentina,2010,Alzheimer's Disease,5.2390721649484533,5
India,2011,Dengue,5.7886516853932592,1
India,2011,Malaria,5.6584482758620691,2
India,2011,Diabetes,5.6455445544554461,3
India,2011,Alzheimer's Disease,5.491975308641976,4
India,2011,Hypertension,5.3366666666666651,5
Mexico,2024,Cholera,5.6024752475247519,1
Mexico,2024,Rabies,5.43126126126126,2
Mexico,2024,Polio,5.4161165048543705,3
Mexico,2024,Ebola,5.3501041666666644,4
Mexico,2024,Diabetes,5.3086516853932588,5
Russia,2000,Rabies,5.30607476635514,1
Russia,2000,Cholera,5.2585950413223133,2
Russia,2000,Zika,5.2454901960784328,3
Russia,2000,Parkinson's Disease,5.1982727272727258,4
Russia,2000,Diabetes,5.1979439252336483,5
Turkey,2000,Influenza,5.5228571428571431,1
Turkey,2000,Dengue,5.5193814432989674,2
Turkey,2000,Hepatitis,5.4955660377358484,3
Turkey,2000,Cholera,5.3701754385964913,4
Turkey,2000,Tuberculosis,5.3075531914893643,5
Italy,2001,Malaria,5.4653913043478237,1
Italy,2001,Diabetes,5.4646153846153833,2
Italy,2001,Parkinson's Disease,5.4541071428571426,3
Italy,2001,Hepatitis,5.1813207547169791,4
Italy,2001,Cancer,5.1407200000000008,5
China,2002,Tuberculosis,5.869569892473117,1
China,2002,Diabetes,5.4500806451612895,2
China,2002,Measles,5.4234782608695644,3
China,2002,Leprosy,5.3955645161290322,4
China,2002,Cholera,5.191770833333333,5
Germany,2006,Rabies,5.573544303797469,1
Germany,2006,Asthma,5.5600990099009886,2
Germany,2006,Zika,5.5285567010309284,3
Germany,2006,Ebola,5.4976415094339632,4
Germany,2006,Parkinson's Disease,5.4728000000000021,5
South Korea,2006,Polio,5.6101010101010109,1
South Korea,2006,Ebola,5.46254901960784,2
South Korea,2006,COVID-19,5.35640350877193,3
South Korea,2006,Parkinson's Disease,5.3082524271844687,4
South Korea,2006,Malaria,5.2900000000000018,5
Germany,2007,Asthma,5.5699038461538466,1
Germany,2007,Ebola,5.5087610619469016,2
Germany,2007,Cancer,5.3710112359550539,3
Germany,2007,Rabies,5.365199999999998,4
Germany,2007,Alzheimer's Disease,5.3519999999999994,5
Australia,2011,Ebola,5.4134666666666673,1
Australia,2011,Dengue,5.3914130434782619,2
Australia,2011,Rabies,5.3093000000000021,3
Australia,2011,Tuberculosis,5.2161320754716982,4
Australia,2011,Polio,5.1730232558139528,5
Japan,2011,Cholera,5.5650526315789479,1
Japan,2011,Zika,5.5308602150537629,2
Japan,2011,Leprosy,5.1912264150943388,3
Japan,2011,Rabies,5.1692134831460672,4
Japan,2011,Alzheimer's Disease,5.1430612244897977,5
Turkey,2020,Cholera,5.3870526315789489,1
Turkey,2020,Ebola,5.3622580645161309,2
Turkey,2020,Parkinson's Disease,5.3606593406593444,3
Turkey,2020,Diabetes,5.3135576923076941,4
Turkey,2020,Tuberculosis,5.2906999999999993,5
